,Student ID,name_x,gender,grade,school,reading_score,math_score,School ID,name_y,type,size,budget
0,26,Melanie Decker,F,9th,Huang High School,63,85,0,Huang High School,District,2917,1910635
0,27,Tracey Oconnor,F,10th,Huang High School,80,58,0,Huang High School,District,2917,1910635
0,28,Kelly James,F,11th,Huang High School,73,55,0,Huang High School,District,2917,1910635
0,29,Nicole Brown,F,12th,Huang High School,90,88,0,Huang High School,District,2917,1910635
0,30,Bobby Harris,M,9th,Huang High School,94,99,0,Huang High School,District,2917,1910635
0,31,Brian Fernandez,M,10th,Huang High School,97,65,0,Huang High School,District,2917,1910635
0,32,Candace Phelps,F,11th,Huang High School,93,90,0,Huang High School,District,2917,1910635
0,33,Amy Gonzalez,F,12th,Huang High School,95,68,0,Huang High School,District,2917,1910635
0,34,Steven Green,M,11th,Huang High School,65,74,0,Huang High School,District,2917,1910635
0,35,Benjamin Carlson,M,10th,Huang High School,99,61,0,Huang High School,District,2917,1910635
0,36,Kevin Bailey,M,10th,Huang High School,76,76,0,Huang High School,District,2917,1910635
0,37,Jesse Newton,M,10th,Huang High School,63,66,0,Huang High School,District,2917,1910635
0,38,Kimberly Mercado,F,12th,Huang High School,73,77,0,Huang High School,District,2917,1910635
0,39,Gregory Roberts,M,9th,Huang High School,80,61,0,Huang High School,District,2917,1910635
0,40,Matthew Mayer,M,9th,Huang High School,79,69,0,Huang High School,District,2917,1910635
0,41,Jennifer Parks,F,11th,Huang High School,85,95,0,Huang High School,District,2917,1910635
0,42,John Carlson,M,9th,Huang High School,65,89,0,Huang High School,District,2917,1910635
0,43,Megan Roberts,F,9th,Huang High School,66,90,0,Huang High School,District,2917,1910635
0,44,Debra Flores,F,10th,Huang High School,75,66,0,Huang High School,District,2917,1910635
0,45,Heidi Jackson,F,11th,Huang High School,64,93,0,Huang High School,District,2917,1910635
0,46,Denise Bradford,F,12th,Huang High School,73,59,0,Huang High School,District,2917,1910635
0,47,Ellen Brown,F,11th,Huang High School,77,81,0,Huang High School,District,2917,1910635
0,48,Amy Perkins,F,9th,Huang High School,76,66,0,Huang High School,District,2917,1910635
0,49,Natalie Mitchell,F,10th,Huang High School,73,93,0,Huang High School,District,2917,1910635
0,50,Tiffany Gutierrez,F,10th,Huang High School,82,95,0,Huang High School,District,2917,1910635
0,51,Jennifer Hess,F,11th,Huang High School,91,56,0,Huang High School,District,2917,1910635
0,52,Christine Fletcher,F,12th,Huang High School,69,78,0,Huang High School,District,2917,1910635
0,53,Jon Smith,M,9th,Huang High School,96,69,0,Huang High School,District,2917,1910635
0,54,Tracey Yates,F,9th,Huang High School,83,68,0,Huang High School,District,2917,1910635
0,55,Jerry Gordon,M,12th,Huang High School,95,71,0,Huang High School,District,2917,1910635
0,56,Michael Cox,M,11th,Huang High School,72,72,0,Huang High School,District,2917,1910635
0,57,Madeline Snyder MD,F,9th,Huang High School,97,56,0,Huang High School,District,2917,1910635
0,58,Allison King,F,11th,Huang High School,74,84,0,Huang High School,District,2917,1910635
0,59,Theresa Meyer,F,9th,Huang High School,88,70,0,Huang High School,District,2917,1910635
0,60,Jared Wood,M,9th,Huang High School,63,89,0,Huang High School,District,2917,1910635
0,61,Eric Maynard,M,9th,Huang High School,64,95,0,Huang High School,District,2917,1910635
0,62,Mark Owens,M,11th,Huang High School,74,65,0,Huang High School,District,2917,1910635
0,63,Ronnie Conley,M,11th,Huang High School,77,61,0,Huang High School,District,2917,1910635
0,64,Kimberly Davis,F,12th,Huang High School,87,57,0,Huang High School,District,2917,1910635
0,65,Amy Mitchell,F,11th,Huang High School,74,60,0,Huang High School,District,2917,1910635
0,66,Mr. Dylan Taylor MD,M,10th,Huang High School,77,93,0,Huang High School,District,2917,1910635
0,67,Elizabeth Henderson,F,12th,Huang High School,70,60,0,Huang High School,District,2917,1910635
0,68,James Lopez,M,12th,Huang High School,65,82,0,Huang High School,District,2917,1910635
0,69,Michael Morgan,M,11th,Huang High School,75,89,0,Huang High School,District,2917,1910635
0,70,Angela Francis,F,12th,Huang High School,70,60,0,Huang High School,District,2917,1910635
0,71,Breanna Taylor,F,10th,Huang High School,93,68,0,Huang High School,District,2917,1910635
0,72,Jason Johnson,M,12th,Huang High School,82,65,0,Huang High School,District,2917,1910635
0,73,Kyle Martin,M,10th,Huang High School,72,94,0,Huang High School,District,2917,1910635
0,74,Dr. Scott Gill,M,10th,Huang High School,85,85,0,Huang High School,District,2917,1910635
0,75,Lisa Long,F,10th,Huang High School,87,62,0,Huang High School,District,2917,1910635
0,76,Erin Liu,F,9th,Huang High School,78,76,0,Huang High School,District,2917,1910635
0,77,Marcus Richards,M,12th,Huang High School,83,76,0,Huang High School,District,2917,1910635
0,78,Jason Thompson,M,12th,Huang High School,99,57,0,Huang High School,District,2917,1910635
0,79,Elizabeth Mckinney,F,9th,Huang High School,74,81,0,Huang High School,District,2917,1910635
0,80,Jessica Bailey,F,10th,Huang High School,67,70,0,Huang High School,District,2917,1910635
0,81,Lisa Frye,F,12th,Huang High School,94,73,0,Huang High School,District,2917,1910635
0,82,Lindsey Baker,F,11th,Huang High School,81,57,0,Huang High School,District,2917,1910635
0,83,Lisa Ramirez,F,12th,Huang High School,64,76,0,Huang High School,District,2917,1910635
0,84,Joseph Butler,M,10th,Huang High School,77,63,0,Huang High School,District,2917,1910635
0,85,Tina Lynch,F,10th,Huang High School,94,60,0,Huang High School,District,2917,1910635
0,86,Leah Benitez,F,10th,Huang High School,93,84,0,Huang High School,District,2917,1910635
0,87,Elizabeth Parker,F,10th,Huang High School,85,56,0,Huang High School,District,2917,1910635
0,88,Melissa Hunter,F,10th,Huang High School,90,70,0,Huang High School,District,2917,1910635
0,89,Miss Madison Everett,F,11th,Huang High School,70,78,0,Huang High School,District,2917,1910635
0,90,Ronald Garcia,M,9th,Huang High School,99,86,0,Huang High School,District,2917,1910635
0,91,Mark Cherry,M,10th,Huang High School,96,98,0,Huang High School,District,2917,1910635
0,92,Ryan Stokes,M,9th,Huang High School,75,72,0,Huang High School,District,2917,1910635
0,93,Isaiah Maldonado,M,10th,Huang High School,84,91,0,Huang High School,District,2917,1910635
0,94,Micheal Dennis,M,12th,Huang High School,86,61,0,Huang High School,District,2917,1910635
0,95,Kevin Martinez,M,11th,Huang High School,89,58,0,Huang High School,District,2917,1910635
0,96,Jessica Smith,F,9th,Huang High School,77,72,0,Huang High School,District,2917,1910635
0,97,Dawn Trujillo,F,11th,Huang High School,82,87,0,Huang High School,District,2917,1910635
0,98,Virginia Ramirez MD,F,10th,Huang High School,99,89,0,Huang High School,District,2917,1910635
0,99,Marc Hernandez,M,10th,Huang High School,87,63,0,Huang High School,District,2917,1910635
0,100,Jose Gonzalez,M,12th,Huang High School,69,67,0,Huang High School,District,2917,1910635
0,101,Jason Dennis,M,10th,Huang High School,72,57,0,Huang High School,District,2917,1910635
0,102,Gary Morris,M,11th,Huang High School,74,58,0,Huang High School,District,2917,1910635
0,103,William Mcdonald,M,12th,Huang High School,86,74,0,Huang High School,District,2917,1910635
0,104,Michael Savage,M,9th,Huang High School,75,66,0,Huang High School,District,2917,1910635
0,105,Alexis Todd,F,11th,Huang High School,82,95,0,Huang High School,District,2917,1910635
0,106,David Hansen,M,10th,Huang High School,76,86,0,Huang High School,District,2917,1910635
0,107,Steven Mendez,M,12th,Huang High School,68,88,0,Huang High School,District,2917,1910635
0,108,Ryan Lynch,M,12th,Huang High School,77,67,0,Huang High School,District,2917,1910635
0,109,Timothy Marks,M,9th,Huang High School,78,62,0,Huang High School,District,2917,1910635
0,110,Alexander Johns,M,10th,Huang High School,67,77,0,Huang High School,District,2917,1910635
0,111,Kenneth Chavez,M,9th,Huang High School,70,79,0,Huang High School,District,2917,1910635
0,112,Dennis Williams,M,10th,Huang High School,88,67,0,Huang High School,District,2917,1910635
0,113,Michael Roy,M,12th,Huang High School,85,73,0,Huang High School,District,2917,1910635
0,114,Richard Ryan,M,12th,Huang High School,88,86,0,Huang High School,District,2917,1910635
0,115,Matthew Reyes,M,12th,Huang High School,79,60,0,Huang High School,District,2917,1910635
0,116,Stephanie Ward,F,11th,Huang High School,75,69,0,Huang High School,District,2917,1910635
0,117,Christopher Tucker,M,10th,Huang High School,80,90,0,Huang High School,District,2917,1910635
0,118,Daniel Jones,M,12th,Huang High School,66,68,0,Huang High School,District,2917,1910635
0,119,Devin Craig,M,10th,Huang High School,65,80,0,Huang High School,District,2917,1910635
0,120,Erin Prince,F,12th,Huang High School,88,81,0,Huang High School,District,2917,1910635
0,121,Bernard Ortiz,M,11th,Huang High School,78,76,0,Huang High School,District,2917,1910635
0,122,Nicole Miller,F,10th,Huang High School,98,57,0,Huang High School,District,2917,1910635
0,123,Christopher Fritz,M,9th,Huang High School,88,77,0,Huang High School,District,2917,1910635
0,124,Bonnie Mckinney,F,11th,Huang High School,63,65,0,Huang High School,District,2917,1910635
0,125,Troy Nelson,M,11th,Huang High School,79,63,0,Huang High School,District,2917,1910635
0,126,Jennifer Lee,F,12th,Huang High School,93,66,0,Huang High School,District,2917,1910635
0,127,Ronald Ward,M,10th,Huang High School,74,89,0,Huang High School,District,2917,1910635
0,128,Nathaniel Hampton,M,11th,Huang High School,70,81,0,Huang High School,District,2917,1910635
0,129,Michael Travis,M,11th,Huang High School,65,79,0,Huang High School,District,2917,1910635
0,130,James Taylor,M,9th,Huang High School,77,71,0,Huang High School,District,2917,1910635
0,131,Thomas Strickland,M,9th,Huang High School,63,77,0,Huang High School,District,2917,1910635
0,132,Brittany Jackson,F,9th,Huang High School,79,57,0,Huang High School,District,2917,1910635
0,133,Marisa Lowe,F,9th,Huang High School,95,95,0,Huang High School,District,2917,1910635
0,134,Nicole Thomas,F,9th,Huang High School,83,59,0,Huang High School,District,2917,1910635
0,135,Matthew Rodriguez,M,12th,Huang High School,80,79,0,Huang High School,District,2917,1910635
0,136,Kent Fernandez,M,12th,Huang High School,66,58,0,Huang High School,District,2917,1910635
0,137,Michelle Martin,F,12th,Huang High School,86,92,0,Huang High School,District,2917,1910635
0,138,John Sparks,M,9th,Huang High School,74,91,0,Huang High School,District,2917,1910635
0,139,Ann Blake,F,11th,Huang High School,97,75,0,Huang High School,District,2917,1910635
0,140,Melissa Miller,F,12th,Huang High School,76,67,0,Huang High School,District,2917,1910635
0,141,Steven Houston,M,9th,Huang High School,99,71,0,Huang High School,District,2917,1910635
0,142,Kristen Anderson,F,11th,Huang High School,78,76,0,Huang High School,District,2917,1910635
0,143,Cory Jones,M,11th,Huang High School,82,73,0,Huang High School,District,2917,1910635
0,144,Jennifer Mora,F,10th,Huang High School,98,73,0,Huang High School,District,2917,1910635
0,145,Dennis Griffin,M,9th,Huang High School,78,71,0,Huang High School,District,2917,1910635
0,146,Darryl Brown,M,10th,Huang High School,98,90,0,Huang High School,District,2917,1910635
0,147,Martin Mosley,M,10th,Huang High School,90,67,0,Huang High School,District,2917,1910635
0,148,Joyce Diaz,F,10th,Huang High School,85,58,0,Huang High School,District,2917,1910635
0,149,Jeffrey Rose,M,12th,Huang High School,81,91,0,Huang High School,District,2917,1910635
0,150,Jamie Moreno,F,9th,Huang High School,78,99,0,Huang High School,District,2917,1910635
0,151,Catherine Williams,F,9th,Huang High School,66,56,0,Huang High School,District,2917,1910635
0,152,Lauren Byrd,F,11th,Huang High School,66,92,0,Huang High School,District,2917,1910635
0,153,Vanessa Frazier,F,10th,Huang High School,85,82,0,Huang High School,District,2917,1910635
0,154,Stephen Bryant,M,11th,Huang High School,83,77,0,Huang High School,District,2917,1910635
0,155,Lawrence Liu,M,12th,Huang High School,82,73,0,Huang High School,District,2917,1910635
0,156,Joseph Larsen,M,9th,Huang High School,88,82,0,Huang High School,District,2917,1910635
0,157,Susan Collier,F,11th,Huang High School,76,92,0,Huang High School,District,2917,1910635
0,158,Meagan Jensen,F,9th,Huang High School,66,67,0,Huang High School,District,2917,1910635
0,159,Julie Harper,F,12th,Huang High School,88,73,0,Huang High School,District,2917,1910635
0,160,Meghan Carroll,F,12th,Huang High School,75,98,0,Huang High School,District,2917,1910635
0,161,Wanda Horton,F,11th,Huang High School,68,88,0,Huang High School,District,2917,1910635
0,162,Mary Campbell,F,10th,Huang High School,72,56,0,Huang High School,District,2917,1910635
0,163,Jennifer Rodgers,F,11th,Huang High School,83,98,0,Huang High School,District,2917,1910635
0,164,Heather Cooper,F,12th,Huang High School,85,61,0,Huang High School,District,2917,1910635
0,165,Ryan Perez,M,11th,Huang High School,70,87,0,Huang High School,District,2917,1910635
0,166,Ryan Cox,M,12th,Huang High School,95,72,0,Huang High School,District,2917,1910635
0,167,Darren Zavala,M,10th,Huang High School,64,84,0,Huang High School,District,2917,1910635
0,168,Joseph Morales III,M,10th,Huang High School,64,85,0,Huang High School,District,2917,1910635
0,169,Aaron West,M,10th,Huang High School,98,67,0,Huang High School,District,2917,1910635
0,170,James Combs,M,10th,Huang High School,65,82,0,Huang High School,District,2917,1910635
0,171,Curtis Garner,M,10th,Huang High School,79,78,0,Huang High School,District,2917,1910635
0,172,Sarah Miller,F,10th,Huang High School,94,71,0,Huang High School,District,2917,1910635
0,173,Samantha Thomas,F,10th,Huang High School,92,62,0,Huang High School,District,2917,1910635
0,174,Robert Atkins,M,9th,Huang High School,85,97,0,Huang High School,District,2917,1910635
0,175,Alexis Crawford,M,10th,Huang High School,70,82,0,Huang High School,District,2917,1910635
0,176,Ryan Maddox,M,11th,Huang High School,80,80,0,Huang High School,District,2917,1910635
0,177,Jonathan Meyer,M,9th,Huang High School,65,79,0,Huang High School,District,2917,1910635
0,178,Donna Wagner,F,10th,Huang High School,95,61,0,Huang High School,District,2917,1910635
0,179,William Kennedy,M,11th,Huang High School,76,56,0,Huang High School,District,2917,1910635
0,180,Kimberly Martinez,F,11th,Huang High School,84,83,0,Huang High School,District,2917,1910635
0,181,Matthew Anderson,M,11th,Huang High School,92,99,0,Huang High School,District,2917,1910635
0,182,Kari Miller,F,9th,Huang High School,88,55,0,Huang High School,District,2917,1910635
0,183,Jenna Luna,F,9th,Huang High School,73,91,0,Huang High School,District,2917,1910635
0,184,Justin Contreras,M,12th,Huang High School,89,63,0,Huang High School,District,2917,1910635
0,185,Mary Fox,F,11th,Huang High School,94,92,0,Huang High School,District,2917,1910635
0,186,Joseph Perkins,M,10th,Huang High School,96,76,0,Huang High School,District,2917,1910635
0,187,Kelly Phillips,F,12th,Huang High School,78,90,0,Huang High School,District,2917,1910635
0,188,Justin Thornton,M,11th,Huang High School,65,61,0,Huang High School,District,2917,1910635
0,189,Joshua Barber,M,10th,Huang High School,77,61,0,Huang High School,District,2917,1910635
0,190,Travis Jackson,M,11th,Huang High School,86,96,0,Huang High School,District,2917,1910635
0,191,Jordan Beasley,F,10th,Huang High School,96,59,0,Huang High School,District,2917,1910635
0,192,Kevin Allen,M,12th,Huang High School,68,63,0,Huang High School,District,2917,1910635
0,193,Victoria Harris,F,11th,Huang High School,89,59,0,Huang High School,District,2917,1910635
0,194,Victoria Joseph,F,12th,Huang High School,72,56,0,Huang High School,District,2917,1910635
0,195,Brandy Marshall,F,11th,Huang High School,86,60,0,Huang High School,District,2917,1910635
0,196,Ryan Jimenez,M,11th,Huang High School,63,89,0,Huang High School,District,2917,1910635
0,197,Michael Chan,M,9th,Huang High School,63,69,0,Huang High School,District,2917,1910635
0,198,Christopher Phillips,M,9th,Huang High School,86,55,0,Huang High School,District,2917,1910635
0,199,Kevin Murphy,M,10th,Huang High School,85,99,0,Huang High School,District,2917,1910635
0,200,Vanessa Harper,F,12th,Huang High School,85,85,0,Huang High School,District,2917,1910635
0,201,James Ferguson,M,9th,Huang High School,96,66,0,Huang High School,District,2917,1910635
0,202,Carol Schroeder,F,12th,Huang High School,83,61,0,Huang High School,District,2917,1910635
0,203,Jerry Phillips,M,10th,Huang High School,82,72,0,Huang High School,District,2917,1910635
0,204,Kristin Wade,F,9th,Huang High School,71,56,0,Huang High School,District,2917,1910635
0,205,Jessica Warner,F,11th,Huang High School,94,83,0,Huang High School,District,2917,1910635
0,206,Dorothy Burke,F,11th,Huang High School,91,92,0,Huang High School,District,2917,1910635
0,207,Bethany Walter,F,9th,Huang High School,88,76,0,Huang High School,District,2917,1910635
0,208,Melissa Avery,F,9th,Huang High School,83,86,0,Huang High School,District,2917,1910635
0,209,Daniel Sutton,M,11th,Huang High School,86,96,0,Huang High School,District,2917,1910635
0,210,Ryan Johnson,M,9th,Huang High School,63,79,0,Huang High School,District,2917,1910635
0,211,Timothy Quinn,M,10th,Huang High School,83,76,0,Huang High School,District,2917,1910635
0,212,Zachary Allen,M,10th,Huang High School,64,87,0,Huang High School,District,2917,1910635
0,213,Lauren Schmitt,F,12th,Huang High School,71,61,0,Huang High School,District,2917,1910635
0,214,Stephanie Armstrong,F,11th,Huang High School,70,66,0,Huang High School,District,2917,1910635
0,215,Ruben Rivera,M,9th,Huang High School,65,79,0,Huang High School,District,2917,1910635
0,216,Patricia Petty,F,12th,Huang High School,79,98,0,Huang High School,District,2917,1910635
0,217,Joseph Jacobs,M,11th,Huang High School,96,68,0,Huang High School,District,2917,1910635
0,218,Bianca Wilson,F,11th,Huang High School,66,62,0,Huang High School,District,2917,1910635
0,219,Donald Perez,M,9th,Huang High School,87,79,0,Huang High School,District,2917,1910635
0,220,Curtis Gomez,M,9th,Huang High School,77,77,0,Huang High School,District,2917,1910635
0,221,Courtney Brown,F,9th,Huang High School,90,88,0,Huang High School,District,2917,1910635
0,222,Nicole Randall,F,9th,Huang High School,94,78,0,Huang High School,District,2917,1910635
0,223,Steven Lambert,M,11th,Huang High School,64,56,0,Huang High School,District,2917,1910635
0,224,Anthony Alvarez,M,10th,Huang High School,93,90,0,Huang High School,District,2917,1910635
0,225,Shawn Farrell,M,10th,Huang High School,89,87,0,Huang High School,District,2917,1910635
0,226,Jesus Schmidt,M,9th,Huang High School,80,76,0,Huang High School,District,2917,1910635
0,227,Laura Wright,F,12th,Huang High School,89,69,0,Huang High School,District,2917,1910635
0,228,Steven Smith,M,11th,Huang High School,66,65,0,Huang High School,District,2917,1910635
0,229,Norman Thompson,M,9th,Huang High School,99,78,0,Huang High School,District,2917,1910635
0,230,Anthony Wright,M,10th,Huang High School,76,64,0,Huang High School,District,2917,1910635
0,231,Kayla Watts,F,11th,Huang High School,74,89,0,Huang High School,District,2917,1910635
0,232,Aimee Johnson,F,9th,Huang High School,97,55,0,Huang High School,District,2917,1910635
0,233,Heidi Scott,F,12th,Huang High School,77,98,0,Huang High School,District,2917,1910635
0,234,Anthony Williams,M,10th,Huang High School,78,93,0,Huang High School,District,2917,1910635
0,235,Sarah Hill,F,12th,Huang High School,88,97,0,Huang High School,District,2917,1910635
0,236,Kim Wang,F,9th,Huang High School,90,71,0,Huang High School,District,2917,1910635
0,237,Beth Manning,F,11th,Huang High School,88,92,0,Huang High School,District,2917,1910635
0,238,Ryan Hanson,M,12th,Huang High School,87,83,0,Huang High School,District,2917,1910635
0,239,James Wood,M,9th,Huang High School,70,81,0,Huang High School,District,2917,1910635
0,240,Corey Greene,M,10th,Huang High School,70,94,0,Huang High School,District,2917,1910635
0,241,John Carter,M,11th,Huang High School,95,83,0,Huang High School,District,2917,1910635
0,242,Beth Garza,F,11th,Huang High School,75,92,0,Huang High School,District,2917,1910635
0,243,Karen Jones,F,9th,Huang High School,78,96,0,Huang High School,District,2917,1910635
0,244,Stephanie Poole,F,10th,Huang High School,95,59,0,Huang High School,District,2917,1910635
0,245,Lisa Brown,F,9th,Huang High School,99,72,0,Huang High School,District,2917,1910635
0,246,Paul Scott,M,10th,Huang High School,64,78,0,Huang High School,District,2917,1910635
0,247,Evelyn Buck,F,10th,Huang High School,68,60,0,Huang High School,District,2917,1910635
0,248,Terry Harrell,M,9th,Huang High School,86,69,0,Huang High School,District,2917,1910635
0,249,Leah Skinner,F,11th,Huang High School,70,79,0,Huang High School,District,2917,1910635
0,250,Anthony Mercado,M,11th,Huang High School,95,97,0,Huang High School,District,2917,1910635
0,251,Walter Kelly,M,9th,Huang High School,80,78,0,Huang High School,District,2917,1910635
0,252,Lori Evans,F,10th,Huang High School,99,66,0,Huang High School,District,2917,1910635
0,253,Ashley Jones,F,12th,Huang High School,96,72,0,Huang High School,District,2917,1910635
0,254,Amber Soto,F,9th,Huang High School,82,60,0,Huang High School,District,2917,1910635
0,255,Patrick Phillips,M,10th,Huang High School,64,62,0,Huang High School,District,2917,1910635
0,256,Linda Curry,F,11th,Huang High School,74,76,0,Huang High School,District,2917,1910635
0,257,Alexander Obrien,M,10th,Huang High School,68,90,0,Huang High School,District,2917,1910635
0,258,Vincent Garza,M,10th,Huang High School,97,61,0,Huang High School,District,2917,1910635
0,259,Terry Marsh,M,11th,Huang High School,99,69,0,Huang High School,District,2917,1910635
0,260,Angela Perkins DVM,F,11th,Huang High School,76,56,0,Huang High School,District,2917,1910635
0,261,Peter Hampton,M,9th,Huang High School,83,97,0,Huang High School,District,2917,1910635
0,262,David Cross,M,11th,Huang High School,68,61,0,Huang High School,District,2917,1910635
0,263,Clinton Ortega,M,10th,Huang High School,93,62,0,Huang High School,District,2917,1910635
0,264,Jamie Escobar,F,10th,Huang High School,91,91,0,Huang High School,District,2917,1910635
0,265,Sandra Mason,F,12th,Huang High School,76,83,0,Huang High School,District,2917,1910635
0,266,Craig Cole,M,12th,Huang High School,83,92,0,Huang High School,District,2917,1910635
0,267,Lisa Warren,F,12th,Huang High School,70,81,0,Huang High School,District,2917,1910635
0,268,Maria Howard,F,9th,Huang High School,74,91,0,Huang High School,District,2917,1910635
0,269,Michael Porter,M,11th,Huang High School,86,68,0,Huang High School,District,2917,1910635
0,270,John Turner,M,11th,Huang High School,78,99,0,Huang High School,District,2917,1910635
0,271,Timothy Wang,M,12th,Huang High School,93,75,0,Huang High School,District,2917,1910635
0,272,Amanda Taylor,F,9th,Huang High School,73,58,0,Huang High School,District,2917,1910635
0,273,Karen Mckenzie,F,9th,Huang High School,82,64,0,Huang High School,District,2917,1910635
0,274,Brandon Miles,M,11th,Huang High School,98,76,0,Huang High School,District,2917,1910635
0,275,Christina Whitaker,F,12th,Huang High School,86,89,0,Huang High School,District,2917,1910635
0,276,Nicole Peterson,F,9th,Huang High School,78,98,0,Huang High School,District,2917,1910635
0,277,Ashley Moore,F,9th,Huang High School,67,74,0,Huang High School,District,2917,1910635
0,278,Todd Carrillo,M,10th,Huang High School,80,99,0,Huang High School,District,2917,1910635
0,279,Robert Williams,M,10th,Huang High School,63,68,0,Huang High School,District,2917,1910635
0,280,Ashley Jones,F,9th,Huang High School,92,72,0,Huang High School,District,2917,1910635
0,281,Vanessa Parker,F,9th,Huang High School,67,78,0,Huang High School,District,2917,1910635
0,282,Robert Carlson,M,12th,Huang High School,73,82,0,Huang High School,District,2917,1910635
0,283,Jared Lewis,M,10th,Huang High School,77,56,0,Huang High School,District,2917,1910635
0,284,Christopher Hernandez,M,10th,Huang High School,92,64,0,Huang High School,District,2917,1910635
0,285,Kimberly Harris,F,9th,Huang High School,66,59,0,Huang High School,District,2917,1910635
0,286,Katrina Hill,F,10th,Huang High School,73,73,0,Huang High School,District,2917,1910635
0,287,Heather Lee,F,9th,Huang High School,71,69,0,Huang High School,District,2917,1910635
0,288,Donald Harmon,M,11th,Huang High School,63,67,0,Huang High School,District,2917,1910635
0,289,Elizabeth Sanders,F,10th,Huang High School,82,64,0,Huang High School,District,2917,1910635
0,290,Richard Ramsey,M,12th,Huang High School,80,60,0,Huang High School,District,2917,1910635
0,291,Carmen Johnson,F,12th,Huang High School,89,79,0,Huang High School,District,2917,1910635
0,292,Elaine Osborne,F,10th,Huang High School,91,69,0,Huang High School,District,2917,1910635
0,293,Kent Burns,M,9th,Huang High School,81,72,0,Huang High School,District,2917,1910635
0,294,Meagan Smith,F,11th,Huang High School,67,87,0,Huang High School,District,2917,1910635
0,295,Craig Hahn,M,9th,Huang High School,92,73,0,Huang High School,District,2917,1910635
0,296,Jeremy Wu,M,11th,Huang High School,72,81,0,Huang High School,District,2917,1910635
0,297,Aaron Rodriguez,M,11th,Huang High School,75,78,0,Huang High School,District,2917,1910635
0,298,Matthew Taylor,M,10th,Huang High School,64,63,0,Huang High School,District,2917,1910635
0,299,Diana Evans,F,11th,Huang High School,96,94,0,Huang High School,District,2917,1910635
0,300,Michele Pearson,F,12th,Huang High School,89,98,0,Huang High School,District,2917,1910635
0,301,Erik Wagner,M,12th,Huang High School,92,61,0,Huang High School,District,2917,1910635
0,302,Maria Welch,F,12th,Huang High School,74,97,0,Huang High School,District,2917,1910635
0,303,Debra Martin,F,12th,Huang High School,68,55,0,Huang High School,District,2917,1910635
0,304,Devon Conner,M,9th,Huang High School,91,89,0,Huang High School,District,2917,1910635
0,305,Christine Patel,F,9th,Huang High School,99,94,0,Huang High School,District,2917,1910635
0,306,David Lopez,M,9th,Huang High School,95,95,0,Huang High School,District,2917,1910635
0,307,Nathan Baird,M,11th,Huang High School,68,59,0,Huang High School,District,2917,1910635
0,308,Samuel Castillo,M,11th,Huang High School,98,57,0,Huang High School,District,2917,1910635
0,309,Rebecca Payne,F,11th,Huang High School,77,66,0,Huang High School,District,2917,1910635
0,310,Carl Johnson,M,10th,Huang High School,64,95,0,Huang High School,District,2917,1910635
0,311,William Adams,M,12th,Huang High School,85,82,0,Huang High School,District,2917,1910635
0,312,Paula Harrison,F,11th,Huang High School,81,91,0,Huang High School,District,2917,1910635
